distributor_name,manager,company,sd,sg,governorate,area,address,phone,serial,page
اﺣﻣد اﻟﺳﻼب,اﺣﻣد اﻟﺳﻼب,,Sarrdesign,Sarreguemines,اﻟﺟﯾزة,اﻛﺗوﺑر,,238383416,11,1
اﺣﻣد اﻟﺳﻼب,اﺣﻣد اﻟﺳﻼب,,Sarrdesign,Sarreguemines,اﻟﺟﯾزة,اﻟﻣﮭﻧدﺳﯾن,,19075,12,1
اﺣﻣد اﻟﺳﻼب,اﺣﻣد اﻟﺳﻼب,,Sarrdesign,Sarreguemines,اﻟﻘﺎھرة,اﻟﺗﺟﻣﻊ,,19075,13,1
اﺣﻣد اﻟﺳﻼب,اﺣﻣد اﻟﺳﻼب,,Sarrdesign,Sarreguemines,اﻟﻘﺎھرة,اﻟﺗﺟﻣﻊ,,19075,14,1
ﻣﺻطﻔﻰ اﻟﺳﻼب,ﻣؤﺳﺳﺔ اﻟﺳﻼب - م / ﻣﺻطﻔﻰ اﻟﺳﻼب,,Sarrdesign,Sarreguemines,اﻟﻘﺎھرة,ﻣدﯾﻧﺔ ﻧﺻر,,22750505,15,1
ﻣﺻطﻔﻰ اﻟﺳﻼب,ﻣؤﺳﺳﺔ اﻟﺳﻼب - م / ﻣﺻطﻔﻰ اﻟﺳﻼب,,Sarrdesign,Sarreguemines,اﻟﻘﺎھرة,ﻣدﯾﻧﺔ ﻧﺻر,,24099101,16,1
ﻣﺻطﻔﻰ اﻟﺳﻼب,ﻣؤﺳﺳﺔ اﻟﺳﻼب - م / ﻣﺻطﻔﻰ اﻟﺳﻼب,,Sarrdesign,Sarreguemines,اﻟﺟﯾزة,اﻟﻣﮭﻧدﺳﯾن,,37617780,17,1
ﻣﺻطﻔﻰ اﻟﺳﻼب,ﻣؤﺳﺳﺔ اﻟﺳﻼب - م / ﻣﺻطﻔﻰ اﻟﺳﻼب,,Sarrdesign,Sarreguemines,اﻟﻘﺎھرة,ﻣﺻر اﻟﺟدﯾدة,,24543568,18,1
ﻣﺻطﻔﻰ اﻟﺳﻼب,ﻣؤﺳﺳﺔ اﻟﺳﻼب - م / ﻣﺻطﻔﻰ اﻟﺳﻼب,,Sarrdesign,Sarreguemines,اﻟﺟﯾزة,اﻟﮭرم,,03 5853386-87,19,1
ﻣﺻطﻔﻰ اﻟﺳﻼب,ﻣؤﺳﺳﺔ اﻟﺳﻼب - م / ﻣﺻطﻔﻰ اﻟﺳﻼب,,Sarrdesign,Sarreguemines,اﻟﺟﯾزة,اﻟﺷﯾﺦ زاﯾد,,19904,20,1
ﻣﺻطﻔﻰ اﻟﺳﻼب,ﻣؤﺳﺳﺔ اﻟﺳﻼب - م / ﻣﺻطﻔﻰ اﻟﺳﻼب,,Sarrdesign,Sarreguemines,اﻟﻘﺎھرة,ﻣدﯾﻧﺗﻰ,,19904,21,1
ﻣﺻطﻔﻰ اﻟﺳﻼب,ﻣؤﺳﺳﺔ اﻟﺳﻼب - م / ﻣﺻطﻔﻰ اﻟﺳﻼب,,Sarrdesign,Sarreguemines,اﻻﺳﻛﻧدرﯾﺔ,ﺟﻧﺎﻛﻠﯾس,,03 5852931 / 5844800,22,1
ﻣﺻطﻔﻰ اﻟﺳﻼب,ﻣؤﺳﺳﺔ اﻟﺳﻼب - م / ﻣﺻطﻔﻰ اﻟﺳﻼب,,Sarrdesign,Sarreguemines,اﻻﺳﻛﻧدرﯾﺔ,اﻟﺳﺎﺣل,,19904,23,1
ﻣﺻطﻔﻰ اﻟﺳﻼب,ﻣؤﺳﺳﺔ اﻟﺳﻼب - م / ﻣﺻطﻔﻰ اﻟﺳﻼب,,Sarrdesign,Sarreguemines,اﻻﺳﻛﻧدرﯾﺔ,اﻟﺳﺎﺣل,,19904,24,1
ﻣﺻطﻔﻰ اﻟﺳﻼب,ﻣؤﺳﺳﺔ اﻟﺳﻼب - م / ﻣﺻطﻔﻰ اﻟﺳﻼب,,Sarrdesign,Sarreguemines,اﻟﻐرﺑﯾﺔ,طﻧطﺎ,,040 3339954,25,1
ﻣﺻطﻔﻰ اﻟﺳﻼب,ﻣؤﺳﺳﺔ اﻟﺳﻼب - م / ﻣﺻطﻔﻰ اﻟﺳﻼب,,Sarrdesign,Sarreguemines,ﺳوھﺎج,ﺳوھﺎج,,19904,26,1
اﻟﻣﺣﺟوب,اﻟﻣﺣﺟوب,,Sarrdesign,Sarreguemines,اﻟﺟﯾزة,ﻓﯾﺻل,,19948,27,1
اﻟﻣﺣﺟوب,اﻟﻣﺣﺟوب,,Sarrdesign,Sarreguemines,اﻟﺟﯾزة,ش اﻟﺑﺣر اﻻﻋظم,,19948,28,1
اﻟﻣﺣﺟوب,اﻟﻣﺣﺟوب,,Sarrdesign,Sarreguemines,اﻟﻘﺎھرة,ﻣدﯾﻧﺔ ﻧﺻر,,19948,29,1
اﻟﻣﺣﺟوب,اﻟﻣﺣﺟوب,,Sarrdesign,Sarreguemines,اﻟﻘﺎھرة,اﻟﺗﺟﻣﻊ اﻟﺧﺎﻣس,,19948,30,1
اﻟﻣﺣﺟوب,اﻟﻣﺣﺟوب,,Sarrdesign,Sarreguemines,اﻟﻘﺎھرة,اﻟﺷﯾﺦ زاﯾد,,19948,31,1
اﻟﻣﺣﺟوب,اﻟﻣﺣﺟوب,,Sarrdesign,Sarreguemines,اﻟﻘﺎھرة,ﺷﯾراﺗون,,19948,32,1
اﻟﻣظﻠوم,اﻟﻣظﻠوم ﻟﻠﺗﺟﺎرة و اﻟﺗوﻛﯾﻼت اﻟﺗﺟﺎرﯾﺔ,,Sarrdesign,Sarreguemines,اﻟﻘﺎھرة,ﻣدﯾﻧﺔ ﻧﺻر,,19744 - 1275000069,33,1
اﻟﻣظﻠوم,اﻟﻣظﻠوم ﻟﻠﺗﺟﺎرة و اﻟﺗوﻛﯾﻼت اﻟﺗﺟﺎرﯾﺔ,,Sarrdesign,Sarreguemines,اﻟﺟﯾزة,اﻟدﻗﻲ,,19744 - 01210186012,34,1
اﻟﻣظﻠوم,اﻟﻣظﻠوم ﻟﻠﺗﺟﺎرة و اﻟﺗوﻛﯾﻼت اﻟﺗﺟﺎرﯾﺔ,,Sarrdesign,Sarreguemines,اﻟﺟﯾزة,اﻟﺷﯾﺦ زاﯾد,,19744 - 01227773041,35,1
اﻟﻣظﻠوم,اﻟﻣظﻠوم ﻟﻠﺗﺟﺎرة و اﻟﺗوﻛﯾﻼت اﻟﺗﺟﺎرﯾﺔ,,Sarrdesign,Sarreguemines,اﻟﺷرﻗﯾﺔ,اﻟﻌﺑور,,1 9 7 4 4,36,1
اﻟﻣظﻠوم,اﻟﻣظﻠوم ﻟﻠﺗﺟﺎرة و اﻟﺗوﻛﯾﻼت اﻟﺗﺟﺎرﯾﺔ,,Sarrdesign,Sarreguemines,اﻻﺳﻛﻧدرﯾﺔ,ﺳﻣوﺣﺔ,,19744 - 03 4210741-42-43,37,1
اﻟﻣظﻠوم,اﻟﻣظﻠوم ﻟﻠﺗﺟﺎرة و اﻟﺗوﻛﯾﻼت اﻟﺗﺟﺎرﯾﺔ,,Sarrdesign,Sarreguemines,اﻻﺳﻛﻧدرﯾﺔ,ﻲﻣﺎﯾﻣ,,19744 - 03 5499604,38,1
اﻟﻣظﻠوم,اﻟﻣظﻠوم ﻟﻠﺗﺟﺎرة و اﻟﺗوﻛﯾﻼت اﻟﺗﺟﺎرﯾﺔ,,Sarrdesign,Sarreguemines,اﻻﺳﻛﻧدرﯾﺔ,ﺧورﺷﯾد,,19744 - 03 5184716,39,1
اﻟﻣظﻠوم,اﻟﻣظﻠوم ﻟﻠﺗﺟﺎرة و اﻟﺗوﻛﯾﻼت اﻟﺗﺟﺎرﯾﺔ,,Sarrdesign,Sarreguemines,اﻻﺳﻛﻧدرﯾﺔ,اﻟﻣﻧﺷﯾﺔ,,19744 - 03 3921325,40,1
اﻟﻣظﻠوم,اﻟﻣظﻠوم ﻟﻠﺗﺟﺎرة و اﻟﺗوﻛﯾﻼت اﻟﺗﺟﺎرﯾﺔ,,Sarrdesign,Sarreguemines,اﻻﺳﻛﻧدرﯾﺔ,اﻟﻌﺟﻣﻰ,,19744 - 01210186014,41,1
اﻟﻣظﻠوم,اﻟﻣظﻠوم ﻟﻠﺗﺟﺎرة و اﻟﺗوﻛﯾﻼت اﻟﺗﺟﺎرﯾﺔ,,Sarrdesign,Sarreguemines,اﻟﻐرﺑﯾﺔ,ﻛﻔر ﺷﻛر,,19744 - 0132525200,42,1
اﻟﻣظﻠوم,اﻟﻣظﻠوم ﻟﻠﺗﺟﺎرة و اﻟﺗوﻛﯾﻼت اﻟﺗﺟﺎرﯾﺔ,,Sarrdesign,Sarreguemines,اﻟﻐرﺑﯾﺔ,دﻓرة,,19744 - 040 3217330,43,1
اﻟﻣظﻠوم,اﻟﻣظﻠوم ﻟﻠﺗﺟﺎرة و اﻟﺗوﻛﯾﻼت اﻟﺗﺟﺎرﯾﺔ,,Sarrdesign,Sarreguemines,اﻟﻐرﺑﯾﺔ,داون ﺗﺎون,,19744 - 01202248022,44,1
اﻟﻣظﻠوم,اﻟﻣظﻠوم ﻟﻠﺗﺟﺎرة و اﻟﺗوﻛﯾﻼت اﻟﺗﺟﺎرﯾﺔ,,Sarrdesign,Sarreguemines,اﺳﯾوط,اﺳﯾوط,,19744,45,1
اﺑﺎ اﻟﻣزاﺣم,اﺑﺎ اﻟﻣزاﺣم,,Sarrdesign,,اﻟﻘﺎھرة,اﻟﺗﺟﻣﻊ,,02 25371712 / -3-4-5-6,46,1
اﺑﺎ اﻟﻣزاﺣم,اﺑﺎ اﻟﻣزاﺣم,,Sarrdesign,,اﻟﻘﺎھرة,اﻟﻔﺟﺎﻟﺔ,,25922336 / 7-8,47,1
اﺑﺎ اﻟﻣزاﺣم,اﺑﺎ اﻟﻣزاﺣم,,Sarrdesign,,اﻟﻘﺎھرة,ﺣداﺋق اﻟﻘﺑﺔ,,24439492/-3,48,1
اﺑﺎ اﻟﻣزاﺣم,اﺑﺎ اﻟﻣزاﺣم,,Sarrdesign,,اﻟﻘﺎھرة,ﻣدﯾﻧﺔ ﻧﺻر,,23490330/1-2-3-4,49,1
اﻟﻘدس,اﻟﻘدس,,Sarrdesign,,اﻟﺟﯾزة,ﻓﯾﺻل,,33835550,50,1
اﻟﻘدس,اﻟﻘدس,,Sarrdesign,,اﻟﺟﯾزة,اﻛﺗوﺑر,,38361599,51,1
اﻟﻣﻌداوى,اﻟﻣﻌداوى,,,Sarreguemines,اﻟﺟﯾزة,اﻛﺗوﺑر,,1211110921,52,1
اﻟﻣﻌداوى,اﻟﻣﻌداوى,,,Sarreguemines,اﻟﻐرﺑﯾﺔ,اﻟﻣﺣﻠﺔ اﻟﻛﺑرى,,402386100,53,1
اﻟﺟزار,اﻟﺟزار,,Sarrdesign,Sarreguemines,ﺎﮭﻧﺑ,ﺎﮭﻧﺑ,,1103992296,54,1
اﻟﺑوﻻﻗﻰ,اﻟﺑوﻻﻗﻰ,,Sarrdesign,Sarreguemines,اﻟﻘﺎھرة,اﻟﺷروق,,1016005017,55,1
اﻟﺑوﻻﻗﻰ,اﻟﺑوﻻﻗﻰ,,Sarrdesign,Sarreguemines,ﺑورﺳﻌﯾد,ﺑورﺳﻌﯾد,,1016005017,56,1
ﺣﻣدى ﺷوﻣﺎن,ﺷرﻛﺔ ﺣﻣدى ﺷوﻣﺎن ﻟﻠﺗﺟﺎرة و اﻟﺗوﻛﯾﻼت,,Sarrdesign,Sarreguemines,اﻟﻐرﺑﯾﺔ,طﻧطﺎ,,0403599494 - 0403343191,57,1
ﺣﻣدى ﺷوﻣﺎن,ﺷرﻛﺔ ﺣﻣدى ﺷوﻣﺎن ﻟﻠﺗﺟﺎرة و اﻟﺗوﻛﯾﻼت,,Sarrdesign,Sarreguemines,اﻟﻐرﺑﯾﺔ,اﻟﻣﺣﻠﺔ,,0402253131 - 0402252131,58,1
ﻋدﻟﻰ ﺟروب,اﻟﺷرﻛﺔ اﻟﺗﺟﺎرﯾﺔ ﻋدﻟﻲ ﺟروب,,Sarrdesign,Sarreguemines,اﻻﺳﻛﻧدرﯾﺔ,اﻟﻣﻧﺷﯾﺔ,,034860489 - 01068801495,59,1
ﻋدﻟﻰ ﺟروب,اﻟﺷرﻛﺔ اﻟﺗﺟﺎرﯾﺔ ﻋدﻟﻲ ﺟروب,,Sarrdesign,Sarreguemines,اﻻﺳﻛﻧدرﯾﺔ,ﺧورﺷﯾد,,035185796 - 01009466665,60,1
ﻋدﻟﻰ ﺟروب,اﻟﺷرﻛﺔ اﻟﺗﺟﺎرﯾﺔ ﻋدﻟﻲ ﺟروب,,Sarrdesign,Sarreguemines,اﻻﺳﻛﻧدرﯾﺔ,اﻟﻌروﺑﺔ,,033405228 - 01098333222,61,1
ﺗﯾوﻟﯾب,ﺷرﻛﺔ ﺗﯾوﻟﯾب,,Sarrdesign,Sarreguemines,اﻻﺳﻛﻧدرﯾﺔ,ﻲﻣﺎﯾﻣ,,03 4872077,62,1
ﺗﯾوﻟﯾب,ﺷرﻛﺔ ﺗﯾوﻟﯾب,,Sarrdesign,Sarreguemines,اﻻﺳﻛﻧدرﯾﺔ,اﻟﻣﻧﺗزه,,03 5357771 - 03 5358881,63,1
اﺑﻧﺎء رﺑﯾﻊ,أﺑﻧﺎء رﺑﯾﻊ ﻟﻠﺳﯾراﻣﯾك و اﻻدوات اﻟﺻﺣﯾﺔ,,Sarrdesign,,اﻟدﻗﮭﻠﯾﺔ,اﻟﻣﻧﺻورة,,050 2264333 / 2256666,64,1
